高中英语单词表
deliver  vt.投递交；发表；接生；给予；解救，拯救 
delighted  *a.高兴的；快乐的 
delight  n.高兴；使人高兴的东西(或人)v.高兴，欣喜 
delicious  a.美味可口的；芬芳的；有趣味的，妙的 
delay  n.耽搁，延迟vi.耽搁，拖延vt.耽搁；推迟 
degree  n.(角或温度的)度数；等级；程度；学位 
definite  a.明确的，肯定的，确定的，限定的 
defend  vt.保卫，保护；为…辩护，为(论文等)答辩 
defence  n.防御，保卫；[pl.]防务工事；辩护，答辩 
defeat  vt.战胜，击败；挫败，使落空 n.击败，战胜 
deer  n.［单复同形］鹿 
deeply  ad.深深地，非常地；深地；(声音)低沉地 
deep  a.深的，深长的；深奥的；强烈的 ad.深，迟 
deed  n.行为，行动；功绩，事迹；契约，证书 
declare  v.宣告，宣布；声明，断言；申报(纳税物品) 
decision  n.决定，决心；坚定，果断 
decide  vt.决定，裁决，解决 vi.拿定主意，判定 
December  (名)十二月 
debt  n.债(务)，借款，欠款 
death  n.死，死亡；灭亡，毁灭，死因 
dear  a.昂贵的；亲爱的；珍贵的 int.呵！哎呀！ 
deal  v.处理；给予；经营 n.数量，程度；交易 
deaf  a.聋的；不愿听别人意见的，装聋的 
dead  a.死的；无生命的；死气沉沉的 ad.完全地 
daytime  n.白天，白昼 
daylight  n.白天，日光，黎明 
day  n.天，一昼夜；白昼，白天；时期，时代 
dawn  vi.破晓，(天)亮起来 n.黎明，天亮，曙光 
daughter  (名)女儿 
date  n.日期；约会 vt.给…注明日期 vi.(from)起 
darkness  n.黑暗，阴暗，秘密 
dark  a.黑暗的，深(色)的；隐秘的；n.无光，黑暗 
dare  vt.敢，竟敢；向…挑战，激 aux.v.胆敢，敢 
dangerous  a.危险的，不安全的 
danger  n.危险；威胁；危险事物 
dance  n.舞(蹈)；舞曲，舞会v.跳舞；跳动 
damp  a.潮湿的 n.潮湿 vt.使潮湿；给…泼冷水 
damage  n.损害，毁坏；(pl.)赔偿金 vt.损害，毁坏 
dam  n.水坝；障碍 v.筑坝，抑制，阻拦 
daily  a.每日的，日常的 ad.每日 n.日报；女佣 
dad  n.(口语)爸爸，爹爹 cyclist  n.骑自行车(或摩托车)的人 
cycle  n.周期；循环；自行(摩托)车 vi.骑车；循环 
cut  n./v.切，割，削；削减，删节 n.切口，伤口 
customer  n.顾客，买主，主顾 
custom  n.习惯，风俗，惯例；(复)海关(常常大写) 
cushion  n.垫子 v.减轻…的压力；保护…使免受苦难 
curtain  n.窗帘，幕布(常和the连用) 
curiously  ad.有求知欲地；好问地；奇特地 
curious  a.好奇的，渴望知道的；稀奇的，莫明其妙的 
cure  vt.治愈；消除，矫正n.治愈，治疗；药(剂) 
cupboard  n.碗柜；橱柜(放食物或衣物等) 
cup  n.杯子；奖杯，优胜杯；(一)杯，一杯的容量  
cubic  a.立方形的，立方体的；立方的，三次幂的 
cry  n.&v.叫，喊，哭；(鸟兽)叫，啼，鸣，嗥 
cruel  a.残酷的，残忍的；痛苦的，引起痛苦的 
crowded  adj．人多的；拥挤的 
crowd  n.群；大众，老百姓 vi.聚集 vt.挤满，塞满 
crossing  n.横渡(大海)；交叉点，十字路口；人行道 
cross  n.十字(架)；苦难 a.交叉的；发怒的 v.穿过 
crop  n.庄稼；收成；一批 vt.收割 vi.收成，耕种 
crisp  a.脆的；干脆的 n.油炸马铃薯片 v.(使)发脆 
crew  n.(船、飞机等的)全体人员；全体划船队员 
creative  a.创造(性)的，有创造力的 
creat  vt.创造 
cream  n.奶油，奶油色；面霜 vt.提取奶油；涂面霜 
crazy  a.发疯的,荒唐的,古怪的;(about)狂热爱好的 
co-worker  n.共同工作者；同事 
cow  n.母牛，奶牛；母兽 
cover  vt.覆盖；涉及；经过 n.覆盖物；掩护物；罩 
cousin  n.堂(表)兄弟，堂(表)姐妹；同种同族 
courtyard  n.院子，庭院，天井 
court  n.法院,法庭;庭院v.献殷勤,追求,招致危险 
course  n.课程；过程，进程；路程，路线；一道菜 
courage  n.勇气，胆量，胆识 
couple  n.对，双；夫妻 vt.连接，结合；(动物)交配 
countryside  n.农村，乡下；乡村地区；乡间；乡村的居民 
country  n.国家，全国人民；[the～]农村，乡村 
countless  a.无数的，多得不计其数的 
counter  n.柜台；计数器 v.反对(抗) ad./a.相反(的) 
count  v.计算；数到，点...数 n.计数，计算，总数 
could  v.aux.(口语)(表示许可或请求）可以...，行 
cough  vi.咳，咳嗽 n.咳嗽 
cotton  n.棉花；棉线，棉纱；棉制品 
cottage  n.农舍，小屋；小型别墅 
cost  v.值；需(价若干)；(需)花费 n.费用；成本 
correctly  adv.正确地；恰当地 
correction  n.改正，纠正；责备，惩罚 
correct  a.正确的，无误的；正常的，恰当的 v.改正 
corn  n.谷物；(美)玉米；(英)小麦 
cordless  adj.无线的 
coral  n.珊瑚a.珊瑚色的，珊瑚红的 
copybook  n.习字簿，习字帖 
copy  n.抄本，摹本；(一)本 vt.抄写；考试中抄袭 
cool  a.凉的；冷静的 n.凉快 ad.冷静地 v.使变凉 
cookie  n.a sweet cookie曲奇饼 
cooker  n.炊事用具(尤指炉、锅等) 
cookbook  *n.食谱；烹调书 
cook  n.厨师 v.烹调，烧煮；纂改(账目)，捏造 
conversation  n.(友好、随便的)谈话，会话 
convenient  a.(to)方便的；合适的；近处的；近便的 
control  n.对照物在对照实验中被用作对照标准的物体 
contribution  n.贡献，促成作用；捐款，捐献物；投稿 
contrary  a.(to)相反的，对抗的n.[the～]相反(事物) 
continue  v.(使)继续；连续，持续 
continent  n.大陆，洲；(不包括英国的)欧洲大陆 
content  n.目录，含量；(pl.)内容 a.满足的，满意的 
container  n.容器，集装箱 
contain  v.包含，容纳，容忍，自制，牵制敌军 
construction  n.建造，构造；建筑物，结构；释义，解释 
constantly  ad.经常地；不断地；时常地 
